"","car_specs","price","mileage","stringAsFactors"
"237","2024 Kia Seltos LX | Demonstrator","$25,990",NA,FALSE
"238","2024 Nissan Sentra S PLUS","$26,198",NA,FALSE
"239","2024 Nissan Sentra S Plus  - Heated Seats -  Apple CarPlay - $166 B/W","$26,283",NA,FALSE
"240","2024 Nissan Kicks S FWD Push Button Start | Blind Spot | Apple CarPl","$26,311",NA,FALSE
"241","2024 Ford F-150 STX SERIES | 18 WHEELS | SYNC 4","$55,408",NA,FALSE
"242","2024 Ford Maverick HYBRID |  CO-PILOT 360 | CRUISE CONTROL","$36,695",NA,FALSE
"243","2024 Mazda CX-50 GT Turbo UP TO 0% APR|INCENTIVE AVAILABLE","$49,320",NA,FALSE
"244","2024 Ram 1500 Classic Warlock 4x4| HEMI|  HEATED SEATS & WHEEL GROUP|","$56,310",NA,FALSE
"245","2024 Jeep Wrangler Willys 4-Dr 4x4 4 Cyl Turbo","$57,401",NA,FALSE
"246","2024 Dodge Durango GT Plus AWD V6","$59,342",NA,FALSE
"247","2024 Jeep Wrangler Willys 4-Dr 4x4 V6","$59,628",NA,FALSE
"248","2023 Ford E-Transit Cargo Van Cargo Van","$74,075",NA,FALSE
"249","2024 Ford Mustang Mustang Dark Horse 700A| Dark Horse appearance PKG","$87,795",NA,FALSE
"250","2024 Nissan Sentra S PLUS","$26,322",NA,FALSE
"251","2024 Kia Forte EX IVT","$26,326",NA,FALSE
"252","2024 Kia Forte EX IVT","$26,326",NA,FALSE
"253","2024 Nissan Sentra S Plus","$26,408",NA,FALSE
"254","2024 Ram 1500 Tradesman | Lvl 1 Equip Grp | Sport Appearance Pkg","$50,187",NA,FALSE
"255","2024 Nissan Sentra S Plus","$26,408",NA,FALSE
"256","2024 Nissan Sentra S Plus","$26,408",NA,FALSE
"257","2024 Nissan Sentra S Plus CVT","$26,410",NA,FALSE
"258","2023 Mazda MX-30 GS","$26,495",NA,FALSE
"259","2024 Nissan Versa Note SR","$26,605",NA,FALSE
"260","2024 Nissan Versa SR","$26,646",NA,FALSE
"261","2024 Nissan Sentra S Plus","$26,658",NA,FALSE
"262","2024 Nissan Sentra S Plus CVT","$26,660",NA,FALSE
"263","2024 Nissan Sentra S Plus CVT","$26,660",NA,FALSE
